,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Buholz (Real),2022-08-16,7.5,-13.0,2022-02-26,13.0
1,Rontal,2022-08-16,15.4,-2.9,2022-07-01,2.9
2,Altdorf,2022-08-12,14.7,-19.5,2022-03-02,19.5
3,Wetzikon (Flos),2022-08-19,22.3,10.4,2022-03-21,10.4
4,Hoefe,2022-08-16,16.1,-14.0,2022-07-08,14.0
5,Horgen,2022-08-19,19.3,2.3,2022-07-09,2.3
6,Untermarch,2022-08-16,5.3,-31.5,2022-02-25,31.5
7,Schwyz,2022-08-18,7.4,-8.3,2022-07-11,8.3
8,Alpnach (Sarneraatal),2022-08-17,9.7,-23.4,2022-02-10,23.4
9,Engelberg,2022-08-09,79.1,48.3,2022-07-06,48.3
10,Stans (Rotzwinkel),2022-08-16,6.8,-35.0,2022-07-10,35.0
11,Meilen (Rorguet),2022-08-19,7.1,-0.7,2022-03-21,0.7
12,Glarnerland,2022-08-17,6.0,-2.5,2022-04-07,2.5
13,Cham (Schoenau),2022-08-16,6.6,-12.1,2022-07-13,12.1
14,Illnau-Effretikon,2022-08-19,10.9,-15.6,2022-03-17,15.6
15,Dübendorf (Ika Neugut),2022-08-19,10.4,-0.5,2022-07-21,0.5
16,Uster (Jungholz),2022-08-19,21.9,1.7,2022-07-11,1.7
17,Affoltern am Albis,2022-08-19,25.1,13.3,2022-03-10,13.3
18,Vuippens (Ais),2022-08-18,6.4,-3.6,2022-03-05,3.6
19,Fribourg (Aele),2022-08-18,3.0,1.4,2022-02-10,1.4
20,Winterthur,2022-08-19,16.4,-8.0,2022-07-15,8.0
21,Dietikon (Limeco),2022-08-19,12.7,-5.9,2022-07-11,5.9
22,Winznau (Zv Olten),2022-08-18,2.9,-0.8,2022-03-07,0.8
23,Zuchwil (Soloth.-Emme),2022-08-18,8.9,2.3,2022-03-07,2.3
24,Grenchen (Buerenamt),2022-08-14,10.3,2.5,2022-03-07,2.5
25,Werdhölzli,2022-08-18,19.4,11.2,2022-03-16,11.2
26,Basel,2022-08-19,5.5,-3.8,2022-03-24,3.8
27,Neuhausen A/Rhf. (Roeti),2022-08-17,3.7,-2.9,2022-03-13,2.9
28,Ramsen (Bibertal-Hegau),2022-08-17,1.7,-3.6,2022-07-23,3.6
29,Hallau (Klettgau),2022-08-17,3.1,-4.4,2022-03-13,4.4
30,Andelfingen,2022-08-19,4.3,-9.9,2022-03-10,9.9
31,Herisau (Bachwis),2022-08-19,4.5,,2022-03-17,
32,Lyss,2022-08-17,6.8,0.2,2022-03-10,0.2
33,Appenzell (Boedeli),2022-08-17,1.1,-11.5,2022-03-31,11.5
34,St.Gallen (Au),2022-08-18,1.7,-1.9,2022-04-01,1.9
35,St.Gallen (Hofen),2022-08-12,4.7,-1.3,2022-03-07,1.3
36,Aarwangen (Zala),2022-08-18,4.8,1.0,2022-02-10,1.0
37,Steinach (Morgental),2022-08-19,2.4,-1.0,2022-03-17,1.0
38,Au (Rosenbergsau),2022-08-17,5.4,-2.7,2022-03-07,2.7
39,Altenrhein,2022-08-18,10.9,1.7,2022-03-15,1.7
40,Buchs,2022-08-19,4.3,1.7,2022-03-07,1.7
41,Bad Ragaz,2022-08-17,3.3,-0.8,2022-03-05,0.8
42,Flums (Seez),2022-08-17,1.6,-1.8,2022-03-05,1.8
43,Rapperswil-Jona,2022-08-18,4.6,0.7,2022-03-06,0.7
44,Flawil (Oberglatt),2022-08-14,3.3,-4.2,2022-03-07,4.2
45,Wil,2022-08-19,3.0,-0.3,2022-03-07,0.3
46,Region Bern,2022-08-19,5.3,2.7,2022-02-10,2.7
47,Worblental,,,,2022-03-06,
48,S-chanf (Oberengadin),2022-08-17,9.4,-8.3,2022-06-30,8.3
49,Davos (Gadenstatt),2022-08-14,12.3,1.3,2022-02-26,1.3
50,Chur,2022-08-17,9.7,4.5,2022-03-12,4.5
51,Arosa,2022-08-17,2.0,-7.4,2022-04-09,7.4
52,Aarau,2022-08-15,1.8,-12.0,2022-07-20,12.0
53,Burgdorf,2022-08-17,0.0,-11.5,2022-03-31,11.5
54,Baden,2022-08-15,1.6,-0.3,2022-03-08,0.3
55,Bremgarten,2022-08-15,0.7,-5.2,2022-07-22,5.2
56,Wohlen,2022-08-13,2.6,-25.2,2022-03-10,25.2
57,Moossee-Urtenenbach,2022-08-19,2.6,-0.1,2022-03-07,0.1
58,Brugg,2022-08-13,1.6,-11.3,2022-03-07,11.3
59,Reinach,,,,2022-03-10,
60,Kaisten,2022-08-13,0.7,-1.2,2022-07-19,1.2
61,Lenzburg,2022-08-15,1.0,-22.8,2022-03-08,22.8
62,Aarburg,2022-08-13,1.5,-9.7,2022-03-07,9.7
63,Zofingen,2022-08-15,15.5,13.1,2022-03-10,13.1
64,"Hefenhofen (Aachtal, Moos)",2022-08-17,2.7,1.8,2022-03-05,1.8
65,Frauenfeld,2022-08-17,4.7,0.6,2022-03-05,0.6
66,Weinfelden (Mittelthurgau),2022-08-17,4.5,-2.5,2022-03-05,2.5
67,Bellinzona (Giubiasco),2022-08-19,9.4,-1.2,2022-03-22,1.2
68,Locarno (Foce Ticino),2022-08-19,11.4,-7.7,2022-03-25,7.7
69,Locarno (Foce Maggia),2022-08-19,16.3,-8.6,2022-03-22,8.6
70,Lugano,2022-08-18,24.8,13.9,2022-03-13,13.9
71,Mendrisio (Rancate),2022-08-19,13.0,-6.9,2022-02-10,6.9
72,Chiasso (Vacallo),2022-08-19,10.5,-19.4,2022-02-10,19.4
73,Bülach,2022-08-19,18.0,1.1,2022-03-10,1.1
74,Lausanne (Vidy),2022-08-19,6.2,-1.9,2022-03-07,1.9
75,Morges,2022-08-15,6.6,1.1,2022-03-06,1.1
