,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Buholz (Real),2022-07-04,71.9,30.2,2022-02-26,30.2
1,Rontal,2022-07-05,65.2,-25.2,2022-07-01,25.2
2,Altdorf,2022-07-04,34.0,4.8,2022-03-02,4.8
3,Wetzikon (Flos),2022-07-01,6.0,-0.3,2022-03-21,0.3
4,Hoefe,2022-07-05,93.7,-0.2,2022-06-22,0.2
5,Horgen,2022-07-01,18.5,11.0,2022-03-12,11.0
6,Untermarch,,,,2022-02-25,
7,Schwyz,2022-07-02,100.0,63.2,2022-07-02,63.2
8,Alpnach (Sarneraatal),2022-07-02,40.8,6.9,2022-02-10,6.9
9,Engelberg,2022-07-05,100.0,40.5,2022-07-04,40.5
10,Stans (Rotzwinkel),2022-07-04,86.0,45.1,2022-03-04,45.1
11,Meilen (Rorguet),2022-07-01,14.4,5.1,2022-03-21,5.1
12,Glarnerland,2022-07-06,12.4,-10.5,2022-04-07,10.5
13,Cham (Schoenau),2022-07-04,100.0,66.0,2022-07-04,66.0
14,Illnau-Effretikon,2022-07-01,8.0,1.0,2022-03-17,1.0
15,Dübendorf (Ika Neugut),2022-07-01,13.5,-2.2,2022-03-17,2.2
16,Uster (Jungholz),2022-07-01,13.6,2.5,2022-03-21,2.5
17,Affoltern am Albis,2022-07-01,6.8,-0.4,2022-03-10,0.4
18,Vuippens (Ais),2022-07-06,29.5,11.9,2022-03-05,11.9
19,Fribourg (Aele),2022-07-06,28.2,13.1,2022-02-10,13.1
20,Winterthur,2022-07-02,19.2,12.7,2022-03-10,12.7
21,Dietikon (Limeco),2022-07-01,19.8,8.5,2022-03-12,8.5
22,Winznau (Zv Olten),2022-07-06,15.6,2.5,2022-03-07,2.5
23,Zuchwil (Soloth.-Emme),2022-07-06,14.1,-2.1,2022-03-07,2.1
24,Grenchen (Buerenamt),2022-07-06,20.9,4.1,2022-03-07,4.1
25,Werdhölzli,2022-06-30,49.5,15.4,2022-03-16,15.4
26,Basel,2022-07-08,65.9,11.7,2022-03-24,11.7
27,Neuhausen A/Rhf. (Roeti),2022-07-03,7.2,0.5,2022-03-13,0.5
28,Ramsen (Bibertal-Hegau),2022-07-03,13.7,-13.5,2022-03-13,13.5
29,Hallau (Klettgau),2022-07-03,12.1,-2.3,2022-03-13,2.3
30,Andelfingen,2022-07-01,11.5,5.2,2022-03-10,5.2
31,Herisau (Bachwis),2022-07-07,38.8,23.8,2022-03-17,23.8
32,Lyss,2022-07-03,11.6,-4.0,2022-03-10,4.0
33,Appenzell (Boedeli),2022-07-01,27.3,15.7,2022-03-10,15.7
34,St.Gallen (Au),2022-07-05,7.8,1.6,2022-04-01,1.6
35,St.Gallen (Hofen),2022-07-01,5.7,-4.3,2022-03-07,4.3
36,Aarwangen (Zala),,,,2022-02-10,
37,Steinach (Morgental),2022-06-29,5.0,0.1,2022-03-17,0.1
38,Au (Rosenbergsau),2022-07-06,20.8,11.4,2022-03-07,11.4
39,Altenrhein,2022-06-30,41.4,17.5,2022-03-15,17.5
40,Buchs,,,,2022-03-07,
41,Bad Ragaz,2022-07-06,23.1,16.5,2022-03-05,16.5
42,Flums (Seez),2022-07-01,5.6,0.8,2022-03-05,0.8
43,Rapperswil-Jona,2022-07-07,13.3,3.8,2022-03-06,3.8
44,Flawil (Oberglatt),,,,2022-03-07,
45,Wil,2022-07-03,5.9,0.6,2022-03-07,0.6
