,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Buholz (Real),,,,2022-07-15,
1,Rontal,,,,2022-07-01,
2,Altdorf,,,,2022-03-02,
3,Wetzikon (Flos),,,,2022-03-21,
4,Hoefe,,,,2022-07-08,
5,Horgen,,,,2022-07-09,
6,Untermarch,,,,2022-02-25,
7,Schwyz,,,,2022-07-15,
8,Alpnach (Sarneraatal),,,,2022-07-15,
9,Engelberg,,,,2022-07-06,
10,Stans (Rotzwinkel),,,,2022-07-15,
11,Meilen (Rorguet),,,,2022-03-21,
12,Glarnerland,2022-07-20,18.9,-0.9,2022-04-07,0.9
13,Cham (Schoenau),,,,2022-07-15,
14,Illnau-Effretikon,,,,2022-07-14,
15,Dübendorf (Ika Neugut),,,,2022-07-07,
16,Uster (Jungholz),,,,2022-07-11,
17,Affoltern am Albis,,,,2022-03-10,
18,Vuippens (Ais),2022-07-20,15.4,-23.4,2022-03-05,23.4
19,Fribourg (Aele),,,,2022-02-10,
20,Winterthur,,,,2022-07-16,
21,Dietikon (Limeco),,,,2022-07-14,
22,Winznau (Zv Olten),2022-07-20,9.6,-25.9,2022-03-07,25.9
23,Zuchwil (Soloth.-Emme),,,,2022-03-07,
24,Grenchen (Buerenamt),2022-07-20,19.9,,2022-03-07,
25,Werdhölzli,2022-07-21,17.0,-28.5,2022-03-16,28.5
26,Basel,2022-07-22,6.2,-30.1,2022-03-24,30.1
27,Neuhausen A/Rhf. (Roeti),2022-07-20,32.5,-0.9,2022-03-13,0.9
28,Ramsen (Bibertal-Hegau),2022-07-20,13.7,-33.3,2022-03-13,33.3
29,Hallau (Klettgau),2022-07-20,12.1,-27.3,2022-03-13,27.3
30,Andelfingen,,,,2022-03-10,
31,Herisau (Bachwis),2022-07-22,9.9,-11.5,2022-03-17,11.5
32,Lyss,2022-07-20,12.2,-9.5,2022-03-10,9.5
33,Appenzell (Boedeli),2022-07-20,9.2,-11.9,2022-03-31,11.9
34,St.Gallen (Au),2022-07-21,3.8,-5.5,2022-04-01,5.5
35,St.Gallen (Hofen),,,,2022-03-07,
36,Aarwangen (Zala),,,,2022-02-10,
37,Steinach (Morgental),2022-07-22,3.4,-7.0,2022-03-17,7.0
38,Au (Rosenbergsau),2022-07-20,8.7,-6.4,2022-03-07,6.4
39,Altenrhein,2022-07-21,10.8,-17.8,2022-03-15,17.8
40,Buchs,,,,2022-03-07,
41,Bad Ragaz,2022-07-20,10.3,2.6,2022-03-05,2.6
42,Flums (Seez),2022-07-20,3.1,-3.6,2022-03-05,3.6
43,Rapperswil-Jona,2022-07-21,6.5,-6.2,2022-03-06,6.2
44,Flawil (Oberglatt),,,,2022-03-07,
45,Wil,,,,2022-03-07,
46,Region Bern,2022-07-21,6.0,-3.2,2022-02-10,3.2
47,Worblental,2022-07-21,4.9,-22.8,2022-03-06,22.8
48,Oberengadin (S-Chanf),2022-07-20,62.4,-1.3,2022-06-30,1.3
49,Davos (Gadenstatt),2022-07-20,28.8,-6.0,2022-02-26,6.0
50,Chur,2022-07-20,8.6,-8.3,2022-03-12,8.3
51,Arosa,2022-07-20,14.7,-6.9,2022-04-09,6.9
52,Aarau,,,,2022-03-08,
53,Burgdorf,2022-07-20,0.0,0.0,2022-03-31,0.0
54,Baden,,,,2022-03-08,
55,Bremgarten,,,,2022-03-14,
56,Wohlen,,,,2022-03-10,
57,Moossee-Urtenenbach,2022-07-22,18.0,-4.8,2022-03-07,4.8
58,Brugg,,,,2022-03-07,
59,Reinach,,,,2022-03-10,
60,Kaisten,,,,2022-03-07,
61,Lenzburg,,,,2022-03-08,
62,Aarburg,,,,2022-03-07,
63,Zofingen,,,,2022-03-10,
64,"Hefenhofen (Aachtal, Moos)",2022-07-20,3.3,-4.5,2022-03-05,4.5
65,Frauenfeld,2022-07-20,12.6,-84.1,2022-03-05,84.1
66,Weinfelden (Mittelthurgau),2022-07-21,22.1,-15.9,2022-03-05,15.9
67,Bellinzona (Giubiasco),2022-07-22,22.7,-14.4,2022-03-22,14.4
68,Locarno (Foce Ticino),2022-07-22,37.5,-38.1,2022-03-25,38.1
69,Locarno (Foce Maggia),2022-07-22,42.2,-22.6,2022-03-22,22.6
70,Lugano,2022-07-21,20.9,-3.6,2022-03-13,3.6
71,Mendrisio (Rancate),2022-07-22,36.3,-25.2,2022-02-10,25.2
72,Chiasso (Vacallo),2022-07-22,44.5,-1.6,2022-02-10,1.6
73,Bülach,,,,2022-03-10,
74,Lausanne (Vidy),2022-07-21,31.9,-20.6,2022-03-07,20.6
75,Morges,2022-07-21,25.9,-17.7,2022-03-06,17.7
76,Commugny,2022-07-22,24.4,-21.1,2022-03-07,21.1
77,Gland (Apec),2022-07-19,26.0,-32.1,2022-03-30,32.1
78,Nyon,,,,2022-03-28,
79,Grindelwald,2022-07-21,43.3,-38.2,2022-07-11,38.2
80,Lauterbrunnen,,,,2022-02-10,
81,Montreux/Pierrier,2022-07-20,55.4,-44.6,2022-07-11,44.6
82,Vevey (Aviron),2022-07-20,36.4,-37.5,2022-03-05,37.5
83,Interlaken,2022-07-20,40.7,-5.5,2022-03-07,5.5
84,Yverdon,2022-07-21,34.9,-64.5,2022-07-11,64.5
85,Colombier (La Saunerie),2022-07-21,16.1,2.9,2022-03-13,2.9
86,La-Chaux-de-Fonds,2022-07-21,3.5,2.4,2022-03-06,2.4
87,Neuchatel,2022-07-21,20.5,-3.6,2022-03-12,3.6
88,Satigny/Bois-de-Bay,,,,2022-03-21,
89,Thonex/Villette,,,,2022-03-25,
90,Aire,2022-07-20,29.2,-17.3,2022-07-04,17.3
91,Laupen,2022-07-21,15.0,-3.9,2022-03-12,3.9
92,Delemont (Sede),,,,2022-02-10,
93,Porrentruy (Sepe),2022-07-19,31.0,-49.5,2022-03-04,49.5
94,Biel,2022-07-21,6.0,-18.5,2022-03-06,18.5
95,Saanen,2022-07-19,5.4,-15.6,2022-03-08,15.6
96,Niederglatt (Fischb.-Gl.),,,,2022-07-14,
97,Thunersee,2022-07-21,17.1,-2.3,2022-03-08,2.3
98,Mittl. Emmental,2022-07-22,5.6,0.6,2022-03-05,0.6
