,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Buholz (Real),,,,2022-02-26,
1,Rontal,,,,2022-07-01,
2,Altdorf,,,,2022-03-02,
3,Wetzikon (Flos),2022-08-10,12.9,-3.7,2022-03-21,3.7
4,Hoefe,,,,2022-07-08,
5,Horgen,2022-08-10,17.6,2.9,2022-07-09,2.9
6,Untermarch,,,,2022-02-25,
7,Schwyz,,,,2022-07-11,
8,Alpnach (Sarneraatal),,,,2022-02-10,
9,Engelberg,,,,2022-07-06,
10,Stans (Rotzwinkel),,,,2022-07-10,
11,Meilen (Rorguet),2022-08-10,8.8,-1.4,2022-03-21,1.4
12,Glarnerland,2022-08-10,9.5,5.6,2022-04-07,5.6
13,Cham (Schoenau),,,,2022-07-13,
14,Illnau-Effretikon,2022-08-10,24.7,8.8,2022-03-17,8.8
15,Dübendorf (Ika Neugut),2022-08-10,9.9,-32.4,2022-07-21,32.4
16,Uster (Jungholz),2022-08-10,15.3,-10.5,2022-07-11,10.5
17,Affoltern am Albis,2022-08-10,10.6,-17.2,2022-03-10,17.2
18,Vuippens (Ais),2022-08-10,11.0,4.7,2022-03-05,4.7
19,Fribourg (Aele),2022-08-08,4.8,-1.3,2022-02-10,1.3
20,Winterthur,2022-08-11,31.5,14.1,2022-07-15,14.1
21,Dietikon (Limeco),2022-08-10,16.9,-4.9,2022-07-11,4.9
22,Winznau (Zv Olten),2022-08-10,4.7,-2.5,2022-03-07,2.5
23,Zuchwil (Soloth.-Emme),2022-08-05,4.5,-2.0,2022-03-07,2.0
24,Grenchen (Buerenamt),2022-08-05,6.6,-3.6,2022-03-07,3.6
25,Werdhölzli,2022-08-11,11.1,2.3,2022-03-16,2.3
26,Basel,2022-08-12,9.2,-21.6,2022-03-24,21.6
27,Neuhausen A/Rhf. (Roeti),2022-08-10,9.3,0.4,2022-03-13,0.4
28,Ramsen (Bibertal-Hegau),2022-08-10,7.3,-0.6,2022-07-23,0.6
29,Hallau (Klettgau),2022-08-10,10.1,4.8,2022-03-13,4.8
30,Andelfingen,2022-08-10,11.1,-3.3,2022-03-10,3.3
31,Herisau (Bachwis),2022-08-09,8.1,3.9,2022-03-17,3.9
32,Lyss,2022-08-10,8.3,3.8,2022-03-10,3.8
33,Appenzell (Boedeli),2022-08-10,18.3,3.7,2022-03-31,3.7
34,St.Gallen (Au),2022-08-11,3.0,-1.3,2022-04-01,1.3
35,St.Gallen (Hofen),2022-08-12,4.7,-1.3,2022-03-07,1.3
36,Aarwangen (Zala),2022-08-04,9.5,3.1,2022-02-10,3.1
37,Steinach (Morgental),2022-08-12,4.4,0.0,2022-03-17,0.0
38,Au (Rosenbergsau),2022-08-10,8.3,0.7,2022-03-07,0.7
39,Altenrhein,2022-08-11,12.6,5.8,2022-03-15,5.8
40,Buchs,,,,2022-03-07,
41,Bad Ragaz,2022-08-10,4.6,-3.6,2022-03-05,3.6
42,Flums (Seez),2022-08-10,4.2,-0.2,2022-03-05,0.2
43,Rapperswil-Jona,2022-08-11,4.1,-1.5,2022-03-06,1.5
44,Flawil (Oberglatt),2022-08-12,3.5,-6.4,2022-03-07,6.4
45,Wil,2022-08-07,3.0,-2.3,2022-03-07,2.3
46,Region Bern,2022-08-11,3.5,0.2,2022-02-10,0.2
47,Worblental,,,,2022-03-06,
48,S-chanf (Oberengadin),2022-08-10,20.3,-4.4,2022-06-30,4.4
49,Davos (Gadenstatt),2022-08-10,9.8,-5.4,2022-02-26,5.4
50,Chur,2022-08-10,5.2,-3.0,2022-03-12,3.0
51,Arosa,2022-08-10,11.0,0.4,2022-04-09,0.4
52,Aarau,2022-08-08,37.8,25.4,2022-07-20,25.4
53,Burgdorf,2022-08-10,23.0,23.0,2022-03-31,23.0
54,Baden,2022-08-06,21.1,14.8,2022-03-08,14.8
55,Bremgarten,2022-08-08,8.3,3.6,2022-07-22,3.6
56,Wohlen,2022-08-08,27.9,15.8,2022-03-10,15.8
57,Moossee-Urtenenbach,2022-08-12,2.3,-0.9,2022-03-07,0.9
58,Brugg,2022-08-06,19.1,12.1,2022-03-07,12.1
59,Reinach,,,,2022-03-10,
60,Kaisten,2022-08-06,2.7,0.8,2022-07-19,0.8
61,Lenzburg,2022-08-06,36.7,30.3,2022-03-08,30.3
62,Aarburg,2022-08-06,16.5,14.3,2022-03-07,14.3
63,Zofingen,2022-08-08,2.5,-2.7,2022-03-10,2.7
