,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
99,Colombier (La Saunerie),2022-11-03,35.9,-12.1,2022-10-02,12.1
100,La-Chaux-de-Fonds,2022-11-03,8.3,1.9,2022-03-06,1.9
101,Neuchatel,2022-11-03,47.4,11.2,2022-03-12,11.2
102,Satigny/Bois-de-Bay,,,,2022-03-21,
103,Thonex/Villette,,,,2022-03-25,
104,Aire,2022-10-26,34.4,4.0,2022-07-04,4.0
105,Laupen,2022-11-03,31.5,13.0,2022-03-12,13.0
106,Delemont (Sede),2022-11-04,22.2,14.8,2022-02-10,14.8
107,Porrentruy (Sepe),2022-11-02,38.2,1.7,2022-03-04,1.7
108,Biel,2022-10-31,30.8,6.6,2022-03-06,6.6
109,Saanen,2022-11-03,13.8,-21.1,2022-03-08,21.1
110,Niederglatt (Fischb.-Gl.),2022-10-28,29.2,5.9,2022-07-11,5.9
111,Thunersee,2022-11-02,26.4,9.1,2022-03-08,9.1
112,Mittl. Emmental,2022-11-03,7.5,-5.3,2022-03-05,5.3
