,date,aktuell betreut
292,2021-03-01,254
293,2021-03-02,234
294,2021-03-03,220
295,2021-03-04,215
296,2021-03-05,225
297,2021-03-06,225
298,2021-03-07,225
299,2021-03-08,248
300,2021-03-09,204
301,2021-03-10,160
302,2021-03-11,157
303,2021-03-12,186
304,2021-03-13,186
305,2021-03-14,186
306,2021-03-15,246
307,2021-03-16,195
308,2021-03-17,197
309,2021-03-18,184
310,2021-03-19,201
311,2021-03-20,201
312,2021-03-21,201
313,2021-03-22,185
314,2021-03-23,201
315,2021-03-24,182
316,2021-03-25,175
317,2021-03-26,221
318,2021-03-27,221
319,2021-03-28,221
320,2021-03-29,316
321,2021-03-30,306
322,2021-03-31,279
323,2021-04-01,310
324,2021-04-02,361
325,2021-04-03,361
326,2021-04-04,361
327,2021-04-05,399
328,2021-04-06,420
329,2021-04-07,390
330,2021-04-08,432
331,2021-04-09,465
332,2021-04-10,465
333,2021-04-11,465
334,2021-04-12,525
335,2021-04-13,503
336,2021-04-14,490
337,2021-04-15,474
338,2021-04-16,538
339,2021-04-17,538
340,2021-04-18,538
341,2021-04-19,696
342,2021-04-20,683
