geoRegion,altersklasse_covid19,per100PersonsTotal
AG,60 - 69,71.5
AI,60 - 69,70.22
AR,60 - 69,65.23
BE,60 - 69,67.42
BL,60 - 69,75.65
BS,60 - 69,72.05
FR,60 - 69,68.23
GE,60 - 69,77.93
GL,60 - 69,68.98
GR,60 - 69,72.85
JU,60 - 69,63.46
LU,60 - 69,68.97
NE,60 - 69,71.65
NW,60 - 69,69.46
SG,60 - 69,73.27
SH,60 - 69,76.95
SO,60 - 69,72.44
SZ,60 - 69,62.81
TG,60 - 69,70.43
TI,60 - 69,76.8
UR,60 - 69,67.09
VD,60 - 69,69.92
ZG,60 - 69,73.86
ZH,60 - 69,69.83
CH,60 - 69,70.9
