geoRegion,altersklasse_covid19,per100PersonsTotal
AG,60 - 69,63.27
AI,60 - 69,67.25
AR,60 - 69,59.62
BE,60 - 69,60.9
BL,60 - 69,74.91
BS,60 - 69,70.83
FR,60 - 69,63.83
GE,60 - 69,74.01
GL,60 - 69,66.04
GR,60 - 69,69.42
JU,60 - 69,57.81
LU,60 - 69,67.67
NE,60 - 69,67.02
NW,60 - 69,64.85
SG,60 - 69,69.75
SH,60 - 69,68.21
SO,60 - 69,62.3
SZ,60 - 69,58.27
TG,60 - 69,63.86
TI,60 - 69,73.78
UR,60 - 69,62.33
VD,60 - 69,64.15
ZG,60 - 69,70.63
ZH,60 - 69,66.22
CH,60 - 69,66.08
