geoRegion,altersklasse_covid19,per100PersonsTotal
AG,20 - 29,27.86
AI,20 - 29,22.81
AR,20 - 29,25.83
BE,20 - 29,33.97
BL,20 - 29,22.53
BS,20 - 29,33.18
FR,20 - 29,27.45
GE,20 - 29,27.98
GL,20 - 29,8.95
GR,20 - 29,12.87
JU,20 - 29,32.62
LU,20 - 29,27.28
NE,20 - 29,29.07
NW,20 - 29,18.73
SG,20 - 29,27.62
SH,20 - 29,26.88
SO,20 - 29,28.13
SZ,20 - 29,24.13
TG,20 - 29,30.72
TI,20 - 29,20.88
UR,20 - 29,31.36
VD,20 - 29,39.06
ZG,20 - 29,24.64
ZH,20 - 29,36.96
CH,20 - 29,30.7
