geoRegion,altersklasse_covid19,per100PersonsTotal
AG,80+,81.5
AI,80+,75.32
AR,80+,78.69
BE,80+,80.06
BL,80+,82.87
BS,80+,78.88
FR,80+,80.0
GE,80+,83.54
GL,80+,79.21
GR,80+,85.93
JU,80+,75.94
LU,80+,79.13
NE,80+,79.79
NW,80+,84.45
SG,80+,78.12
SH,80+,86.22
SO,80+,81.72
SZ,80+,72.67
TG,80+,78.84
TI,80+,85.25
UR,80+,81.04
VD,80+,81.32
ZG,80+,84.37
ZH,80+,82.74
CH,80+,81.31
