,geoRegion,altersklasse_covid19,per100PersonsTotal
68,AG,20 - 29,18.2
275,AI,20 - 29,11.17
482,AR,20 - 29,16.27
689,BE,20 - 29,24.74
896,BL,20 - 29,10.8
1103,BS,20 - 29,20.34
1517,FR,20 - 29,14.03
1724,GE,20 - 29,15.0
1931,GL,20 - 29,5.81
2138,GR,20 - 29,7.74
2345,JU,20 - 29,23.83
2552,LU,20 - 29,17.63
2759,NE,20 - 29,14.89
2966,NW,20 - 29,11.69
3173,SG,20 - 29,12.56
3380,SH,20 - 29,14.76
3587,SO,20 - 29,16.66
3794,SZ,20 - 29,18.03
4001,TG,20 - 29,18.05
4208,TI,20 - 29,13.52
4415,UR,20 - 29,19.83
4622,VD,20 - 29,26.58
4829,ZG,20 - 29,9.45
5036,ZH,20 - 29,18.5
5375,CH,20 - 29,18.2
