geoRegion,altersklasse_covid19,per100PersonsTotal
AG,80+,82.22
AI,80+,74.58
AR,80+,78.32
BE,80+,79.59
BL,80+,82.47
BS,80+,78.86
FR,80+,81.56
GE,80+,82.95
GL,80+,78.34
GR,80+,85.27
JU,80+,75.23
LU,80+,80.09
NE,80+,78.47
NW,80+,83.72
SG,80+,79.01
SH,80+,85.66
SO,80+,81.83
SZ,80+,72.13
TG,80+,79.58
TI,80+,88.4
UR,80+,80.31
VD,80+,80.12
ZG,80+,84.06
ZH,80+,84.5
CH,80+,81.7
