geoRegion,altersklasse_covid19,per100PersonsTotal
AG,10 - 19,7.93
AI,10 - 19,7.67
AR,10 - 19,7.06
BE,10 - 19,8.3
BL,10 - 19,6.91
BS,10 - 19,8.34
FR,10 - 19,9.27
GE,10 - 19,7.5
GL,10 - 19,3.01
GR,10 - 19,3.33
JU,10 - 19,12.71
LU,10 - 19,6.97
NE,10 - 19,9.08
NW,10 - 19,5.24
SG,10 - 19,5.6
SH,10 - 19,8.82
SO,10 - 19,6.66
SZ,10 - 19,8.47
TG,10 - 19,9.95
TI,10 - 19,3.88
UR,10 - 19,11.47
VD,10 - 19,10.67
ZG,10 - 19,8.36
ZH,10 - 19,9.59
CH,10 - 19,8.21
