geoRegion,altersklasse_covid19,per100PersonsTotal
AG,40 - 49,35.42
AI,40 - 49,38.01
AR,40 - 49,39.35
BE,40 - 49,41.63
BL,40 - 49,30.37
BS,40 - 49,46.61
FR,40 - 49,33.67
GE,40 - 49,54.75
GL,40 - 49,35.77
GR,40 - 49,25.46
JU,40 - 49,42.47
LU,40 - 49,39.14
NE,40 - 49,33.59
NW,40 - 49,33.34
SG,40 - 49,34.39
SH,40 - 49,36.11
SO,40 - 49,34.43
SZ,40 - 49,37.34
TG,40 - 49,39.88
TI,40 - 49,31.56
UR,40 - 49,37.55
VD,40 - 49,44.15
ZG,40 - 49,43.89
ZH,40 - 49,36.21
CH,40 - 49,38.58
