geoRegion,altersklasse_covid19,per100PersonsTotal
AG,50 - 59,52.85
AI,50 - 59,51.25
AR,50 - 59,48.6
BE,50 - 59,52.66
BL,50 - 59,59.41
BS,50 - 59,62.88
FR,50 - 59,53.38
GE,50 - 59,73.92
GL,50 - 59,56.09
GR,50 - 59,58.31
JU,50 - 59,50.58
LU,50 - 59,53.07
NE,50 - 59,55.86
NW,50 - 59,48.6
SG,50 - 59,57.81
SH,50 - 59,57.49
SO,50 - 59,54.08
SZ,50 - 59,47.44
TG,50 - 59,55.54
TI,50 - 59,67.29
UR,50 - 59,54.92
VD,50 - 59,60.55
ZG,50 - 59,62.95
ZH,50 - 59,59.15
CH,50 - 59,57.75
