geoRegion,altersklasse_covid19,per100PersonsTotal
AG,10 - 19,6.41
AI,10 - 19,5.05
AR,10 - 19,5.92
BE,10 - 19,5.62
BL,10 - 19,4.45
BS,10 - 19,6.91
FR,10 - 19,5.6
GE,10 - 19,4.18
GL,10 - 19,1.9
GR,10 - 19,2.3
JU,10 - 19,9.2
LU,10 - 19,6.06
NE,10 - 19,6.75
NW,10 - 19,3.17
SG,10 - 19,3.78
SH,10 - 19,5.94
SO,10 - 19,5.16
SZ,10 - 19,7.05
TG,10 - 19,7.12
TI,10 - 19,2.92
UR,10 - 19,9.7
VD,10 - 19,8.51
ZG,10 - 19,5.44
ZH,10 - 19,6.26
CH,10 - 19,5.84
