geoRegion,altersklasse_covid19,per100PersonsTotal
AG,30 - 39,26.17
AI,30 - 39,24.25
AR,30 - 39,27.93
BE,30 - 39,34.22
BL,30 - 39,20.45
BS,30 - 39,39.05
FR,30 - 39,24.13
GE,30 - 39,31.89
GL,30 - 39,13.71
GR,30 - 39,12.35
JU,30 - 39,31.64
LU,30 - 39,30.75
NE,30 - 39,25.78
NW,30 - 39,19.29
SG,30 - 39,24.8
SH,30 - 39,24.17
SO,30 - 39,25.97
SZ,30 - 39,27.44
TG,30 - 39,29.57
TI,30 - 39,18.25
UR,30 - 39,30.73
VD,30 - 39,36.1
ZG,30 - 39,20.28
ZH,30 - 39,31.31
CH,30 - 39,29.28
