geoRegion,altersklasse_covid19,per100PersonsTotal
AG,50 - 59,39.1
AI,50 - 59,46.33
AR,50 - 59,39.42
BE,50 - 59,42.58
BL,50 - 59,58.44
BS,50 - 59,61.44
FR,50 - 59,46.52
GE,50 - 59,67.28
GL,50 - 59,51.29
GR,50 - 59,49.98
JU,50 - 59,42.78
LU,50 - 59,45.99
NE,50 - 59,42.01
NW,50 - 59,41.36
SG,50 - 59,51.82
SH,50 - 59,42.06
SO,50 - 59,38.04
SZ,50 - 59,39.26
TG,50 - 59,43.19
TI,50 - 59,55.32
UR,50 - 59,46.44
VD,50 - 59,51.99
ZG,50 - 59,56.64
ZH,50 - 59,53.36
CH,50 - 59,49.24
