geoRegion,altersklasse_covid19,per100PersonsTotal
AG,70 - 79,85.82
AI,70 - 79,82.96
AR,70 - 79,80.44
BE,70 - 79,82.87
BL,70 - 79,84.41
BS,70 - 79,82.42
FR,70 - 79,80.6
GE,70 - 79,84.25
GL,70 - 79,82.52
GR,70 - 79,85.34
JU,70 - 79,79.29
LU,70 - 79,81.22
NE,70 - 79,81.81
NW,70 - 79,87.94
SG,70 - 79,84.06
SH,70 - 79,88.95
SO,70 - 79,86.06
SZ,70 - 79,78.54
TG,70 - 79,74.14
TI,70 - 79,85.09
UR,70 - 79,80.92
VD,70 - 79,83.49
ZG,70 - 79,84.71
ZH,70 - 79,77.59
CH,70 - 79,82.27
