geoRegion,altersklasse_covid19,per100PersonsTotal
AG,40 - 49,35.4
AI,40 - 49,38.06
AR,40 - 49,40.0
BE,40 - 49,41.63
BL,40 - 49,30.38
BS,40 - 49,46.6
FR,40 - 49,33.68
GE,40 - 49,54.75
GL,40 - 49,35.97
GR,40 - 49,25.53
JU,40 - 49,42.48
LU,40 - 49,39.12
NE,40 - 49,33.67
NW,40 - 49,33.64
SG,40 - 49,34.39
SH,40 - 49,36.15
SO,40 - 49,34.46
SZ,40 - 49,37.4
TG,40 - 49,40.23
TI,40 - 49,31.55
UR,40 - 49,37.55
VD,40 - 49,44.16
ZG,40 - 49,43.89
ZH,40 - 49,36.27
CH,40 - 49,38.62
