geoRegion,altersklasse_covid19,per100PersonsTotal
AG,80+,81.65
AI,80+,74.37
AR,80+,77.79
BE,80+,78.8
BL,80+,82.09
BS,80+,78.5
FR,80+,81.22
GE,80+,82.42
GL,80+,77.86
GR,80+,84.63
JU,80+,73.75
LU,80+,79.76
NE,80+,77.69
NW,80+,83.4
SG,80+,78.27
SH,80+,84.99
SO,80+,81.04
SZ,80+,71.67
TG,80+,78.89
TI,80+,88.15
UR,80+,79.81
VD,80+,78.78
ZG,80+,83.51
ZH,80+,83.04
CH,80+,80.9
