geoRegion,altersklasse_covid19,per100PersonsTotal
AG,20 - 29,18.24
AI,20 - 29,11.17
AR,20 - 29,16.27
BE,20 - 29,24.75
BL,20 - 29,10.81
BS,20 - 29,20.38
FR,20 - 29,14.03
GE,20 - 29,15.0
GL,20 - 29,5.81
GR,20 - 29,7.74
JU,20 - 29,23.83
LU,20 - 29,18.11
NE,20 - 29,14.93
NW,20 - 29,11.71
SG,20 - 29,12.76
SH,20 - 29,14.79
SO,20 - 29,16.66
SZ,20 - 29,18.06
TG,20 - 29,18.09
TI,20 - 29,13.53
UR,20 - 29,19.83
VD,20 - 29,26.6
ZG,20 - 29,9.45
ZH,20 - 29,18.57
CH,20 - 29,18.26
