geoRegion,altersklasse_covid19,per100PersonsTotal
AG,10 - 19,7.94
AI,10 - 19,7.67
AR,10 - 19,7.08
BE,10 - 19,8.3
BL,10 - 19,6.91
BS,10 - 19,8.34
FR,10 - 19,9.27
GE,10 - 19,7.51
GL,10 - 19,3.01
GR,10 - 19,3.31
JU,10 - 19,12.71
LU,10 - 19,7.02
NE,10 - 19,9.09
NW,10 - 19,5.27
SG,10 - 19,5.61
SH,10 - 19,8.78
SO,10 - 19,6.66
SZ,10 - 19,8.52
TG,10 - 19,9.91
TI,10 - 19,3.85
UR,10 - 19,11.49
VD,10 - 19,10.67
ZG,10 - 19,8.36
ZH,10 - 19,9.66
CH,10 - 19,8.22
