geoRegion,altersklasse_covid19,per100PersonsTotal
AG,20 - 29,22.2
AI,20 - 29,18.16
AR,20 - 29,21.7
BE,20 - 29,28.51
BL,20 - 29,16.31
BS,20 - 29,30.91
FR,20 - 29,20.24
GE,20 - 29,21.62
GL,20 - 29,6.0
GR,20 - 29,8.69
JU,20 - 29,28.74
LU,20 - 29,23.36
NE,20 - 29,21.18
NW,20 - 29,14.7
SG,20 - 29,19.29
SH,20 - 29,18.86
SO,20 - 29,20.95
SZ,20 - 29,21.11
TG,20 - 29,23.79
TI,20 - 29,16.25
UR,20 - 29,25.82
VD,20 - 29,33.05
ZG,20 - 29,15.14
ZH,20 - 29,27.8
CH,20 - 29,24.19
