geoRegion,altersklasse_covid19,per100PersonsTotal
AG,0 - 9,0.03
AI,0 - 9,0.0
AR,0 - 9,0.12
BE,0 - 9,0.0
BL,0 - 9,0.03
BS,0 - 9,0.08
FR,0 - 9,0.03
GE,0 - 9,0.02
GL,0 - 9,0.08
GR,0 - 9,0.1
JU,0 - 9,0.0
LU,0 - 9,0.04
NE,0 - 9,0.0
NW,0 - 9,0.26
SG,0 - 9,0.0
SH,0 - 9,0.03
SO,0 - 9,0.06
SZ,0 - 9,0.05
TG,0 - 9,0.06
TI,0 - 9,0.06
UR,0 - 9,0.06
VD,0 - 9,0.01
ZG,0 - 9,0.04
ZH,0 - 9,0.04
CH,0 - 9,0.03
