geoRegion,altersklasse_covid19,per100PersonsTotal
AG,40 - 49,43.12
AI,40 - 49,40.16
AR,40 - 49,45.27
BE,40 - 49,47.47
BL,40 - 49,38.97
BS,40 - 49,49.02
FR,40 - 49,41.47
GE,40 - 49,61.05
GL,40 - 49,38.67
GR,40 - 49,40.82
JU,40 - 49,47.03
LU,40 - 49,44.26
NE,40 - 49,43.3
NW,40 - 49,39.08
SG,40 - 49,44.22
SH,40 - 49,47.35
SO,40 - 49,44.53
SZ,40 - 49,42.4
TG,40 - 49,47.69
TI,40 - 49,36.63
UR,40 - 49,43.14
VD,40 - 49,50.93
ZG,40 - 49,50.98
ZH,40 - 49,46.52
CH,40 - 49,46.37
