geoRegion,altersklasse_covid19,per100PersonsTotal
AG,20 - 29,18.2
AI,20 - 29,11.17
AR,20 - 29,16.27
BE,20 - 29,24.74
BL,20 - 29,10.8
BS,20 - 29,20.34
FR,20 - 29,14.03
GE,20 - 29,15.0
GL,20 - 29,5.81
GR,20 - 29,7.74
JU,20 - 29,23.83
LU,20 - 29,17.63
NE,20 - 29,14.89
NW,20 - 29,11.69
SG,20 - 29,12.56
SH,20 - 29,14.76
SO,20 - 29,16.66
SZ,20 - 29,18.03
TG,20 - 29,18.05
TI,20 - 29,13.52
UR,20 - 29,19.83
VD,20 - 29,26.58
ZG,20 - 29,9.45
ZH,20 - 29,18.5
CH,20 - 29,18.2
