geoRegion,altersklasse_covid19,per100PersonsTotal
AG,60 - 69,67.41
AI,60 - 69,68.9
AR,60 - 69,63.23
BE,60 - 69,64.0
BL,60 - 69,75.2
BS,60 - 69,71.6
FR,60 - 69,65.67
GE,60 - 69,76.15
GL,60 - 69,66.54
GR,60 - 69,71.34
JU,60 - 69,60.82
LU,60 - 69,68.24
NE,60 - 69,68.84
NW,60 - 69,66.86
SG,60 - 69,71.85
SH,60 - 69,71.31
SO,60 - 69,66.63
SZ,60 - 69,60.59
TG,60 - 69,67.31
TI,60 - 69,75.3
UR,60 - 69,64.52
VD,60 - 69,67.05
ZG,60 - 69,73.28
ZH,60 - 69,68.23
CH,60 - 69,68.5
