,geoRegion,altersklasse_covid19,per100PersonsTotal
206,AG,80+,81.6
413,AI,80+,74.37
620,AR,80+,77.79
827,BE,80+,78.78
1034,BL,80+,82.09
1241,BS,80+,78.5
1655,FR,80+,81.21
1862,GE,80+,82.42
2069,GL,80+,77.86
2276,GR,80+,84.6
2483,JU,80+,73.73
2690,LU,80+,79.62
2897,NE,80+,77.39
3104,NW,80+,83.4
3311,SG,80+,78.24
3518,SH,80+,84.99
3725,SO,80+,81.0
3932,SZ,80+,71.54
4139,TG,80+,78.83
4346,TI,80+,88.14
4553,UR,80+,79.81
4760,VD,80+,78.78
4967,ZG,80+,83.51
5174,ZH,80+,82.48
5381,CH,80+,80.77
