geoRegion,altersklasse_covid19,per100PersonsTotal
AG,30 - 39,21.15
AI,30 - 39,15.59
AR,30 - 39,23.22
BE,30 - 39,29.89
BL,30 - 39,13.79
BS,30 - 39,25.5
FR,30 - 39,17.49
GE,30 - 39,23.31
GL,30 - 39,13.24
GR,30 - 39,10.44
JU,30 - 39,27.18
LU,30 - 39,24.38
NE,30 - 39,18.0
NW,30 - 39,14.87
SG,30 - 39,17.0
SH,30 - 39,19.55
SO,30 - 39,20.35
SZ,30 - 39,23.36
TG,30 - 39,23.04
TI,30 - 39,14.67
UR,30 - 39,23.83
VD,30 - 39,29.16
ZG,30 - 39,11.33
ZH,30 - 39,21.48
CH,30 - 39,22.27
