geoRegion,altersklasse_covid19,per100PersonsTotal
AG,70 - 79,84.78
AI,70 - 79,81.46
AR,70 - 79,78.32
BE,70 - 79,80.86
BL,70 - 79,83.49
BS,70 - 79,81.45
FR,70 - 79,80.12
GE,70 - 79,82.73
GL,70 - 79,80.47
GR,70 - 79,83.46
JU,70 - 79,76.12
LU,70 - 79,81.18
NE,70 - 79,79.37
NW,70 - 79,86.31
SG,70 - 79,82.63
SH,70 - 79,87.48
SO,70 - 79,84.35
SZ,70 - 79,76.52
TG,70 - 79,80.68
TI,70 - 79,84.57
UR,70 - 79,79.23
VD,70 - 79,80.93
ZG,70 - 79,83.8
ZH,70 - 79,75.81
CH,70 - 79,80.99
