,geoRegion,altersklasse_covid19,per100PersonsTotal
45,AG,10 - 19,5.38
252,AI,10 - 19,3.35
459,AR,10 - 19,3.35
666,BE,10 - 19,4.77
873,BL,10 - 19,2.68
1080,BS,10 - 19,4.53
1494,FR,10 - 19,2.74
1701,GE,10 - 19,2.13
1908,GL,10 - 19,1.85
2115,GR,10 - 19,1.97
2322,JU,10 - 19,6.81
2529,LU,10 - 19,4.51
2736,NE,10 - 19,4.63
2943,NW,10 - 19,2.46
3150,SG,10 - 19,2.48
3357,SH,10 - 19,4.32
3564,SO,10 - 19,4.2
3771,SZ,10 - 19,5.67
3978,TG,10 - 19,5.24
4185,TI,10 - 19,2.48
4392,UR,10 - 19,6.67
4599,VD,10 - 19,5.93
4806,ZG,10 - 19,2.84
5013,ZH,10 - 19,3.73
5374,CH,10 - 19,4.08
