geoRegion,altersklasse_covid19,per100PersonsTotal
AG,30 - 39,21.11
AI,30 - 39,15.59
AR,30 - 39,23.22
BE,30 - 39,29.87
BL,30 - 39,13.78
BS,30 - 39,25.48
FR,30 - 39,17.49
GE,30 - 39,23.31
GL,30 - 39,13.24
GR,30 - 39,10.43
JU,30 - 39,27.18
LU,30 - 39,23.92
NE,30 - 39,17.97
NW,30 - 39,14.85
SG,30 - 39,16.75
SH,30 - 39,19.55
SO,30 - 39,20.32
SZ,30 - 39,23.35
TG,30 - 39,22.97
TI,30 - 39,14.66
UR,30 - 39,23.83
VD,30 - 39,29.15
ZG,30 - 39,11.33
ZH,30 - 39,21.33
CH,30 - 39,22.18
