geoRegion,altersklasse_covid19,per100PersonsTotal
AG,60 - 69,71.59
AI,60 - 69,70.22
AR,60 - 69,65.26
BE,60 - 69,67.42
BL,60 - 69,75.66
BS,60 - 69,72.05
FR,60 - 69,68.24
GE,60 - 69,77.94
GL,60 - 69,69.38
GR,60 - 69,72.66
JU,60 - 69,63.46
LU,60 - 69,69.26
NE,60 - 69,71.65
NW,60 - 69,69.55
SG,60 - 69,73.32
SH,60 - 69,76.86
SO,60 - 69,72.47
SZ,60 - 69,63.1
TG,60 - 69,68.68
TI,60 - 69,76.56
UR,60 - 69,67.09
VD,60 - 69,69.94
ZG,60 - 69,73.86
ZH,60 - 69,70.3
CH,60 - 69,70.94
