geoRegion,altersklasse_covid19,per100PersonsTotal
AG,50 - 59,39.04
AI,50 - 59,46.29
AR,50 - 59,39.42
BE,50 - 59,42.56
BL,50 - 59,58.44
BS,50 - 59,61.4
FR,50 - 59,46.51
GE,50 - 59,67.28
GL,50 - 59,51.28
GR,50 - 59,49.96
JU,50 - 59,42.78
LU,50 - 59,45.38
NE,50 - 59,41.97
NW,50 - 59,41.36
SG,50 - 59,51.31
SH,50 - 59,42.04
SO,50 - 59,37.99
SZ,50 - 59,39.15
TG,50 - 59,43.11
TI,50 - 59,55.31
UR,50 - 59,46.44
VD,50 - 59,51.95
ZG,50 - 59,56.64
ZH,50 - 59,53.03
CH,50 - 59,49.1
