geoRegion,altersklasse_covid19,per100PersonsTotal
AG,60 - 69,63.21
AI,60 - 69,67.25
AR,60 - 69,59.6
BE,60 - 69,60.86
BL,60 - 69,74.9
BS,60 - 69,70.82
FR,60 - 69,63.82
GE,60 - 69,74.01
GL,60 - 69,66.04
GR,60 - 69,69.36
JU,60 - 69,57.78
LU,60 - 69,67.31
NE,60 - 69,66.98
NW,60 - 69,64.85
SG,60 - 69,69.27
SH,60 - 69,68.2
SO,60 - 69,62.19
SZ,60 - 69,58.07
TG,60 - 69,63.8
TI,60 - 69,73.77
UR,60 - 69,62.33
VD,60 - 69,64.12
ZG,60 - 69,70.63
ZH,60 - 69,65.77
CH,60 - 69,65.93
