geoRegion,altersklasse_covid19,per100PersonsTotal
AG,60 - 69,67.46
AI,60 - 69,68.84
AR,60 - 69,63.09
BE,60 - 69,64.0
BL,60 - 69,75.19
BS,60 - 69,71.63
FR,60 - 69,65.81
GE,60 - 69,76.13
GL,60 - 69,66.43
GR,60 - 69,71.34
JU,60 - 69,61.06
LU,60 - 69,68.47
NE,60 - 69,68.81
NW,60 - 69,66.73
SG,60 - 69,71.96
SH,60 - 69,71.3
SO,60 - 69,66.66
SZ,60 - 69,60.53
TG,60 - 69,67.45
TI,60 - 69,75.31
UR,60 - 69,64.52
VD,60 - 69,67.08
ZG,60 - 69,73.29
ZH,60 - 69,68.3
CH,60 - 69,68.55
