geoRegion,altersklasse_covid19,per100PersonsTotal
AG,40 - 49,28.83
AI,40 - 49,24.98
AR,40 - 49,32.89
BE,40 - 49,36.61
BL,40 - 49,21.09
BS,40 - 49,33.15
FR,40 - 49,25.48
GE,40 - 49,47.34
GL,40 - 49,35.4
GR,40 - 49,18.68
JU,40 - 49,37.3
LU,40 - 49,31.71
NE,40 - 49,24.33
NW,40 - 49,27.98
SG,40 - 49,24.6
SH,40 - 49,30.39
SO,40 - 49,28.09
SZ,40 - 49,32.71
TG,40 - 49,32.6
TI,40 - 49,22.05
UR,40 - 49,30.18
VD,40 - 49,36.39
ZG,40 - 49,34.75
ZH,40 - 49,26.58
CH,40 - 49,30.69
