Altersklasse,Männer,Frauen,Total
0 - 9,22,20,42
10 - 19,269,324,593
20 - 29,719,646,1365
30 - 39,550,479,1029
40 - 49,473,442,915
50 - 59,561,568,1129
60 - 69,379,363,742
70 - 79,219,179,398
80+,160,194,354
