Altersklasse,Männer,Frauen,Total
0 - 9,47.0,28.0,75.0
10 - 19,426.0,464.0,890.0
20 - 29,1129.0,1113.0,2242.0
30 - 39,895.0,902.0,1797.0
40 - 49,743.0,773.0,1516.0
50 - 59,854.0,933.0,1787.0
60 - 69,542.0,421.0,963.0
70 - 79,270.0,248.0,518.0
80+,227.0,376.0,603.0
