Altersklasse,Männer,Frauen,Total
0 - 9,47.0,25.0,72.0
10 - 19,403.0,437.0,840.0
20 - 29,1089.0,1053.0,2142.0
30 - 39,853.0,859.0,1712.0
40 - 49,716.0,740.0,1456.0
50 - 59,816.0,894.0,1710.0
60 - 69,518.0,400.0,918.0
70 - 79,250.0,232.0,482.0
80+,201.0,339.0,540.0
