Altersklasse,Covid-Fälle
0 - 9,468
10 - 19,2964
20 - 29,5681
30 - 39,4999
40 - 49,4415
50 - 59,4804
60 - 69,2643
70 - 79,1403
80+,1690
Unbekannt,2
