Altersklasse,Männer,Frauen,Total
0 - 9,23.0,17.0,40.0
10 - 19,158.0,194.0,352.0
20 - 29,399.0,450.0,849.0
30 - 39,365.0,412.0,777.0
40 - 49,338.0,315.0,653.0
50 - 59,422.0,418.0,840.0
60 - 69,252.0,259.0,511.0
70 - 79,171.0,154.0,325.0
80+,107.0,154.0,261.0
