Altersklasse,Männer,Frauen,Total
0 - 9,48,38,86
10 - 19,353,373,726
20 - 29,799,833,1632
30 - 39,735,700,1436
40 - 49,676,661,1339
50 - 59,757,716,1474
60 - 69,471,390,862
70 - 79,235,215,450
80+,152,193,345
