Altersklasse,Covid-Fälle
0 - 9,106
10 - 19,1021
20 - 29,2054
30 - 39,2025
40 - 49,1769
50 - 59,2233
60 - 69,1341
70 - 79,799
80+,980
Unbekannt,5
