Altersklasse,Covid-Fälle
0 - 9,773
10 - 19,3859
20 - 29,6705
30 - 39,6660
40 - 49,6320
50 - 59,6564
60 - 69,3858
70 - 79,2128
80+,2378
Unbekannt,6
