Altersklasse,Männer,Frauen,Total
0 - 9,55.0,36.0,91.0
10 - 19,490.0,532.0,1022.0
20 - 29,1258.0,1273.0,2531.0
30 - 39,1044.0,1050.0,2094.0
40 - 49,848.0,886.0,1734.0
50 - 59,978.0,1085.0,2063.0
60 - 69,620.0,498.0,1118.0
70 - 79,317.0,297.0,614.0
80+,285.0,480.0,765.0
