Altersklasse,Covid-Fälle
0 - 9,186
10 - 19,1719
20 - 29,4037
30 - 39,3513
40 - 49,2989
50 - 59,3483
60 - 69,1867
70 - 79,1085
80+,1486
Unbekannt,2
