Altersklasse,Covid-Fälle
0 - 9,1232
10 - 19,5157
20 - 29,8295
30 - 39,8274
40 - 49,7824
50 - 59,7881
60 - 69,4501
70 - 79,2339
80+,2502
Unbekannt,7
