Altersklasse,Covid-Fälle
0 - 9,116
10 - 19,1121
20 - 29,2255
30 - 39,1969
40 - 49,1729
50 - 59,2117
60 - 69,1327
70 - 79,790
80+,1042
Unbekannt,2
