Altersklasse,Männer,Frauen,Total
0 - 9,12,7,19
10 - 19,88,95,183
20 - 29,223,244,467
30 - 39,195,212,407
40 - 49,184,157,341
50 - 59,229,228,457
60 - 69,144,146,290
70 - 79,98,96,194
80+,65,91,156
