Altersklasse,Covid-Fälle
0 - 9,224
10 - 19,1520
20 - 29,2707
30 - 39,2722
40 - 49,2371
50 - 59,2888
60 - 69,1710
70 - 79,976
80+,1182
Unbekannt,6
