Altersklasse,Covid-Fälle
0 - 9,195
10 - 19,2657
20 - 29,5637
30 - 39,5034
40 - 49,4626
50 - 59,5514
60 - 69,3346
70 - 79,2189
80+,2630
Unbekannt,4
