Altersklasse,Covid-Fälle
0 - 9,481
10 - 19,1906
20 - 29,3152
30 - 39,2913
40 - 49,2589
50 - 59,2930
60 - 69,1773
70 - 79,990
80+,1170
Unbekannt,2
