Altersklasse,Covid-Fälle
0 - 9,200
10 - 19,1433
20 - 29,2581
30 - 39,2599
40 - 49,2267
50 - 59,2776
60 - 69,1653
70 - 79,956
80+,1172
Unbekannt,6
