Altersklasse,Covid-Fälle
0 - 9,126
10 - 19,1154
20 - 29,2283
30 - 39,2254
40 - 49,1972
50 - 59,2454
60 - 69,1469
70 - 79,863
80+,1118
Unbekannt,5
