Altersklasse,Männer,Frauen,Total
0 - 9,62,50,112
10 - 19,521,510,1031
20 - 29,1046,1109,2155
30 - 39,1021,960,1983
40 - 49,900,913,1815
50 - 59,1010,961,1972
60 - 69,616,515,1132
70 - 79,344,288,632
80+,227,289,516
