Altersklasse,Covid-Fälle
0 - 9,321
10 - 19,1817
20 - 29,3075
30 - 39,3087
40 - 49,2651
50 - 59,3230
60 - 69,1858
70 - 79,1044
80+,1222
Unbekannt,6
