Altersklasse,Covid-Fälle
0 - 9,590
10 - 19,4568
20 - 29,7930
30 - 39,7184
40 - 49,6660
50 - 59,7275
60 - 69,4287
70 - 79,2604
80+,2937
Unbekannt,5
