Altersklasse,Covid-Fälle
0 - 9,1235
10 - 19,5194
20 - 29,8396
30 - 39,8315
40 - 49,7850
50 - 59,7902
60 - 69,4511
70 - 79,2344
80+,2506
Unbekannt,7
