Altersklasse,Covid-Fälle
0 - 9,216
10 - 19,1481
20 - 29,2654
30 - 39,2668
40 - 49,2337
50 - 59,2850
60 - 69,1684
70 - 79,969
80+,1181
Unbekannt,6
