Altersklasse,Covid-Fälle
0 - 9,238
10 - 19,1850
20 - 29,4231
30 - 39,3739
40 - 49,3203
50 - 59,3667
60 - 69,1986
70 - 79,1147
80+,1529
Unbekannt,2
