Altersklasse,Männer,Frauen,Total
0 - 9,51.0,54.0,105.0
10 - 19,708.0,806.0,1514.0
20 - 29,1626.0,1754.0,3380.0
30 - 39,1453.0,1357.0,2810.0
40 - 49,1251.0,1373.0,2624.0
50 - 59,1462.0,1610.0,3072.0
60 - 69,1017.0,925.0,1942.0
70 - 79,635.0,560.0,1195.0
80+,492.0,858.0,1350.0
