Altersklasse,Männer,Frauen,Total
0 - 9,21,9,30
10 - 19,132,153,285
20 - 29,324,348,672
30 - 39,288,329,617
40 - 49,262,232,494
50 - 59,340,328,668
60 - 69,202,208,410
70 - 79,137,122,259
80+,83,120,203
